battle_slug,side,casualties_low,casualties_high,confidence,source_slug
battle_of_ain_ben_tili_b,Mauritanie,150,150,medium,
battle_of_ain_zara_b,Empire ottoman,100,100,medium,
battle_of_ain_zara_b,Royaume d'Italie,171,171,medium,
battle_of_aizu_b,Shogunate,2977,2977,medium,
battle_of_akhalzic_b,Ottoman Empire,1500,2000,medium,
battle_of_akhalzic_b,Russian Empire,1600,1600,medium,
battle_of_al_bab_b,Islamic State,1348,1348,medium,
battle_of_al_hudaydah_b,Houthis,118,2018,medium,
battle_of_al_hudaydah_b,République du Yémen,125,2018,medium,
battle_of_al_mahbes_1979_b,Maroc,132,150,medium,
battle_of_al_mahbes_b,Maroc,311,311,medium,
battle_of_al_mukalla_2016_b,AQAP,1171,1171,medium,
battle_of_al_safra_b,Ottoman Empire,4500,5000,medium,
battle_of_alapan_b,Spanish Empire,2800,2800,medium,
battle_of_alavus_b,Российская империя,200,314,medium,
battle_of_alba_de_tormes_1812_b,Primer Imperio francés,100,100,medium,
battle_of_alba_de_tormes_b,Kingdom of Spain,4000,4000,medium,
battle_of_albuera_b,French Empire,5935,7900,medium,
battle_of_albuera_b,United Kingdom,5916,7000,medium,
battle_of_alcaniz_b,Empire français,800,800,medium,
battle_of_alcaniz_b,Royaume d'Espagne,300,300,medium,
battle_of_alcantara_b,Французская империя,269,269,medium,
battle_of_aldeia_da_ponte_b,Empire français,150,150,medium,
battle_of_aldeia_da_ponte_b,Royaume-Uni de Grande-Bretagne et d'Irlande,100,100,medium,
battle_of_aldenhoven_1793_b,Republican France,2300,2300,medium,
battle_of_aldenhoven_1794_b,French Republic,1500,1500,medium,
battle_of_aldenhoven_1794_b,Habsburg monarchy,3000,3000,medium,
battle_of_alegria_de_alava_b,Carlistas,600,600,medium,
battle_of_aleppo_b,Ba'athist Syria,15000,15000,medium,
battle_of_aleppo_b,Fatah Halab,10000,10000,medium,
battle_of_aleppo_b,YPG,1500,1500,medium,
battle_of_algiers_b,FLN,1000,3000,medium,
battle_of_ali_masjid_b,Эмират Афганистан,300,300,medium,
battle_of_aliwal_b,Sikh Empire,2000,2000,medium,
battle_of_alkmaar_b,France,3000,3000,medium,
battle_of_alkmaar_b,Great Britain,2200,2200,medium,
battle_of_allenstein_b,Французская империя,300,800,medium,
battle_of_alma_b,Russia,5700,5700,medium,
battle_of_alma_b,United Kingdom,4103,4103,medium,
battle_of_almaraz_b,Empire français,150,259,medium,
battle_of_almaraz_b,Royaume-Uni de Grande-Bretagne et d'Irlande,181,181,medium,
battle_of_almonacid_b,France,2400,2400,medium,
battle_of_almonacid_b,Spain,3300,3500,medium,
battle_of_alpens_b,Carlistas,900,900,medium,
battle_of_als_b,Denmark,1878,1878,medium,
battle_of_alsasua_b,Carlistas,300,300,medium,
battle_of_altafulla_b,Kingdom of Spain,1200,1200,medium,
battle_of_altenkirchen_b,Habsburg Austria,1500,1500,medium,
battle_of_alto_de_los_godos_b,Royalistes,479,479,medium,
battle_of_am_zoer_b,Alliance nationale,161,161,medium,
battle_of_amba_aradam_b,Ethiopia,6000,6000,medium,
battle_of_ambarawa_b,Indonesia,2000,2000,medium,
battle_of_amberg_b,Republican France,2000,2000,medium,
battle_of_ambon_b,Netherlands,2182,2182,medium,
battle_of_amgala_b,Maroc,250,350,medium,
battle_of_amiens_b,French Republic,1383,1383,medium,
battle_of_amiens_b,North German Confederation,1292,1292,medium,
battle_of_amman_b,Jordan,5000,5000,medium,
battle_of_ammunition_hill_b,Израиль,100,150,medium,
battle_of_amoy_b,Dynastie Qing,500,500,medium,
battle_of_ampfing_b,French Republic,1707,1707,medium,
battle_of_ampfing_b,Habsburg Austria,3070,3070,medium,
battle_of_amstetten_b,France,1000,1000,medium,
battle_of_amstetten_b,Habsburg Empire,1000,1000,medium,
battle_of_ancona_b,Germany,2500,2500,medium,
battle_of_ancona_b,Poland,1789,1789,medium,
battle_of_andoain_b,Liberales,100,750,medium,
battle_of_andros_b,Ottoman Empire,3000,3000,medium,
battle_of_angamos_b,Pérou,144,144,medium,
battle_of_annual_b,Spain,13192,13192,medium,
battle_of_antonov_airport_b,Ukraine,200,225,medium,
battle_of_aouzou_b,Libya,1225,1225,medium,
battle_of_ap_bac_b,Sud-Viêt Nam,100,113,medium,
battle_of_arachova_b,Ottoman Empire,1700,1700,medium,
battle_of_araure_b,Royalists,1000,1000,medium,
battle_of_arcis_sur_aube_b,Austria,3000,4000,medium,
battle_of_arcis_sur_aube_b,France,3000,4200,medium,
battle_of_argaon_b,Maratha Empire,1100,1100,medium,
battle_of_arica_b,Peru,1000,1000,medium,
battle_of_arkansas_post_b,Confederate States,4791,4791,medium,
battle_of_arkansas_post_b,United States,1092,1092,medium,
battle_of_arlaban_1812_b,Французская империя,300,800,medium,
battle_of_arlaban_b,Французская империя,200,1042,medium,
battle_of_arnhem_b,France,1500,1500,medium,
battle_of_arpachai_b,Ottoman Empire,1000,1000,medium,
battle_of_arras_1940_b,Reich allemand,300,400,medium,
battle_of_arras_1940_b,Royaume-Uni,170,170,medium,
battle_of_arroyo_dos_molinos_b,France,1300,1300,medium,
battle_of_arroyo_grande_1842_b,Colorados,2000,2000,medium,
battle_of_arroyo_grande_b,Liga de los Pueblos Libres,100,100,medium,
battle_of_arzobispo_b,Kingdom of Spain,1600,1600,medium,
battle_of_aschaffenburg_b,Austrian Empire,1759,1759,medium,
battle_of_asiago_b,Austria-Hungary,10203,10203,medium,
battle_of_asiago_b,Italy,15453,15453,medium,
battle_of_aslanduz_b,Qajar Iran,5000,5000,medium,
battle_of_aspern_essling_b,Austria,23000,23000,medium,
battle_of_aspern_essling_b,France,20000,20000,medium,
battle_of_aspindza_b,Ottoman Empire,4500,4500,medium,
